Name,Code,Year,Individuals using the Internet (% of population)
World,OWID_WRL,2011,31.21501
World,OWID_WRL,2012,33.717407
World,OWID_WRL,2013,35.659657
World,OWID_WRL,2014,37.892628
World,OWID_WRL,2015,40.292362
World,OWID_WRL,2016,43.28537
World,OWID_WRL,2017,45.766167
World,OWID_WRL,2018,49.233635
World,OWID_WRL,2019,53.57066
World,OWID_WRL,2020,59.5774
South Asia,,1990,0
South Asia,,1991,0
South Asia,,1992,0.000084720785
South Asia,,1993,0.0001657734
South Asia,,1994,0.0008512783
South Asia,,1995,0.019977266
South Asia,,1996,0.040563747
South Asia,,1997,0.060038242
South Asia,,1998,0.1169904
South Asia,,1999,0.22607283
South Asia,,2000,0.47542065
South Asia,,2001,0.6706829
South Asia,,2002,1.4769018
South Asia,,2003,1.8742511
South Asia,,2004,2.2243075
South Asia,,2005,2.5869167
South Asia,,2006,3.0206366
South Asia,,2007,4.007624
South Asia,,2008,4.4322634
South Asia,,2009,5.142473
South Asia,,2010,7.1692076
South Asia,,2011,9.220739
South Asia,,2012,10.098044
South Asia,,2013,11.303046
South Asia,,2014,12.830551
South Asia,,2015,14.160776
South Asia,,2016,16.117107
South Asia,,2017,17.878408
South Asia,,2018,19.827385
South Asia,,2019,27.25059
South Asia,,2020,38.534134
Sub-Saharan Africa,,1990,0
Sub-Saharan Africa,,1991,0.00103339
Sub-Saharan Africa,,1992,0.003006051
Sub-Saharan Africa,,1993,0.008724507
Sub-Saharan Africa,,1994,0.018911593
Sub-Saharan Africa,,1995,0.051620305
Sub-Saharan Africa,,1996,0.07231788
Sub-Saharan Africa,,1997,0.13508853
Sub-Saharan Africa,,1998,0.24472712
Sub-Saharan Africa,,1999,0.37397653
Sub-Saharan Africa,,2000,0.51690954
Sub-Saharan Africa,,2001,0.6565449
Sub-Saharan Africa,,2002,0.8391686
Sub-Saharan Africa,,2003,1.114833
Sub-Saharan Africa,,2004,1.4952703
Sub-Saharan Africa,,2005,2.0158885
Sub-Saharan Africa,,2006,2.659157
Sub-Saharan Africa,,2007,3.3699985
Sub-Saharan Africa,,2008,3.669102
Sub-Saharan Africa,,2009,4.3129983
Sub-Saharan Africa,,2010,6.137968
Sub-Saharan Africa,,2011,7.5966353
Sub-Saharan Africa,,2012,9.284887
Sub-Saharan Africa,,2013,11.1593895
Sub-Saharan Africa,,2014,13.368985
Sub-Saharan Africa,,2015,16.103184
Sub-Saharan Africa,,2016,18.586412
Sub-Saharan Africa,,2017,20.966433
Sub-Saharan Africa,,2018,24.686743
Sub-Saharan Africa,,2019,26.18961
Sub-Saharan Africa,,2020,29.345758
